id;Image;Nom;Référence;Catégorie;Prix de base;Prix final;Quantité;État
17705;http://www.convertiblecenter.fr/img/p/3/5/5/6/9/35569.jpg;Canapé fixe 3 places MODENA - Largeur 196 cm;;Canapés fixes 3 places                        ;1289.583333;779;-2;1
17708;http://www.convertiblecenter.fr/img/p/3/5/9/0/0/35900.jpg;Canapé convertible 3 places VERONE - Largeur 196 cm - Matelas 18cm - Couchage 140cm - Sommier doubles lattes larges;;Convertibles 3 places - 140 cm;1991.666667;1099;0;1
17361;http://www.convertiblecenter.fr/img/p/3/1/6/8/4/31684.jpg;Canapé convertible 4 places BALDO - Largeur 230 cm - Couchage 160 cm;;Convertibles 4 places - 160 cm;3322.916670;1999;-8;1
15831;http://www.convertiblecenter.fr/img/p/3/3/8/8/0/33880.jpg;Fauteuil convertible PAIMPOL - Largeur 135 cm - Couchage 100 cm;;Fauteuils convertibles - 100 cm;1749.385950;1129;-2;1
11561;http://www.convertiblecenter.fr/img/p/3/1/3/6/1/31361.jpg;Canapé convertible 4 places CLUB - Largeur 212 cm - Couchage 160 cm;;Convertibles 4 places - 160 cm;3681.659920;1799;-1;1
17717;http://www.convertiblecenter.fr/img/p/3/6/1/1/4/36114.jpg;Canapé convertible 4 places MURANO - Largeur 200 cm - Matelas 18cm - Couchage 160 cm - Sommier doubles lattes larges;;Convertibles 4 places - 160 cm;2158.333333;1299;-1;1
17593;http://www.convertiblecenter.fr/img/p/3/3/0/0/1/33001.jpg;Canapé convertible 3 places SMILE - Largeur 183 cm - Couchage 140 cm;;Convertibles 3 places - 140 cm;2656.250000;1599;-1;1
12351;http://www.convertiblecenter.fr/img/p/3/3/4/5/7/33457.jpg;Canapé convertible 2 places FORLI - Largeur 168 cm - Couchage 120 cm;;Convertibles 2 places - 120 cm;2172.257340;1349;-3;1
17725;http://www.convertiblecenter.fr/img/p/3/6/3/7/4/36374.jpg;Canapé convertible 4 places DUOMO - Largeur 217 cm - Couchage 160 cm;;Convertibles 4 places - 160 cm;2606.016667;1699;0;1
4402;http://www.convertiblecenter.fr/img/p/3/4/6/7/9/34679.jpg;Matelas Équilibre 140 x 190 pour convertible d'une densité de 40KG/M3 - Garanti 5 ans;;Matelas quotidien 40KG/M3;319.166667;389;87;1
